player_n,mean_shot_ft
Ivica Zubac,7.14809970188513
Walker Kessler,7.345937446106788
Rudy Gobert,7.567122213428383
Jakob Poeltl,7.576884068715781
Jarrett Allen,7.732582727889017
Isaiah Hartenstein,8.950735207185607
Deandre Ayton,10.153334212412073
Onyeka Okongwu,10.427750689380183
Alperen Sengun,10.51823554482321
Amen Thompson,10.615177596496459
Giannis Antetokounmpo,10.645131079358935
Domantas Sabonis,10.931901563774515
Drew Timme,11.660600353902492
Evan Mobley,11.982083985723156
Dyson Daniels,12.113980347019172
Jalen Johnson,12.334124856933629
Anthony Davis,12.403235780964488
Jimmy Butler,12.682698421448837
Christian Braun,12.911604237829883
Nikola Jokic,13.246850407395948
RJ Barrett,13.281072527427032
Karl-Anthony Towns,13.324265170651197
Bam Adebayo,13.404179360453591
John Collins,13.456384589722184
Kelly Oubre Jr.,13.611632574740916
Josh Hart,13.652715245084867
Naji Marshall,13.881678965348573
Wendell Carter Jr.,14.03908670655671
Aaron Gordon,14.18172387801413
Pascal Siakam,14.331377997743719
Nikola Vucevic,14.354992438934138
Scottie Barnes,14.440507944662443
P.J. Washington,14.445778723486875
Franz Wagner,14.483285437335761
Josh Giddey,14.538028163409829
Julius Randle,14.541594834361689
Jaden McDaniels,14.57006062895059
Cade Cunningham,14.575964879059564
Ja Morant,14.59992436696288
Ayo Dosunmu,14.612834697779622
Stephon Castle,14.71170231108417
Jaren Jackson Jr.,14.923391116166387
Shai Gilgeous-Alexander,14.944222403044263
Tobias Harris,15.056612725199793
Jalen Williams,15.05942482748607
Kyle Kuzma,15.086620065143727
Bennedict Mathurin,15.202458391215174
Jaylen Brown,15.207815073634295
Jaden Ivey,15.25660285024463
LeBron James,15.274347069804701
Collin Sexton,15.300501148370497
Bilal Coulibaly,15.324212358502347
Toumani Camara,15.371946581863185
Herbert Jones,15.433587228610286
Miles Bridges,15.50902407168467
Paolo Banchero,15.516375927797387
Cason Wallace,15.711227952224831
Rui Hachimura,15.743464901220854
Jalen Brunson,15.775217655708891
Davion Mitchell,15.940310658565373
De'Aaron Fox,15.964895314789555
Kawhi Leonard,15.978941549352925
Harrison Barnes,16.039494570818555
AJ Johnson,16.0481611726368
Caleb Martin,16.082740695797593
Kyrie Irving,16.25696160730599
Mikal Bridges,16.26120105135286
OG Anunoby,16.352003574139164
Alex Sarr,16.43108420129406
Dejounte Murray,16.479819633513692
DeMar DeRozan,16.490262709324753
Andrew Wiggins,16.56971174492147
Bradley Beal,16.59804736699692
Kevin Durant,16.647909774683257
Draymond Green,16.74757208574615
Tyrese Maxey,16.748879082138778
Norman Powell,16.818873543101187
Desmond Bane,16.8591315525435
Andrew Nembhard,16.924058646398837
Santi Aldama,16.95579063284251
Terry Rozier,17.18996699309093
Jamal Murray,17.21295526580601
Naz Reid,17.317908530055885
Zach LaVine,17.334182426272516
Shaedon Sharpe,17.376020477083106
Myles Turner,17.46509023815016
Jrue Holiday,17.468822697358824
Brandon Ingram,17.484314029395943
Quentin Grimes,17.52108381777737
Devin Booker,17.622643563507843
Anthony Edwards,17.63160079429737
Cam Thomas,17.640482734023873
Michael Porter Jr.,17.648808736637893
Gradey Dick,17.747005724303005
Jerami Grant,17.76153124955813
CJ McCollum,17.82530319497751
De'Andre Hunter,17.833035027169945
Darius Garland,17.894805532674
Brook Lopez,18.014461224223414
Trae Young,18.124191539343503
Donovan Mitchell,18.12583447246525
Jalen Green,18.13601244757304
Victor Wembanyama,18.15375176255534
Dennis Schroder,18.16476380921753
Jayson Tatum,18.189138751274537
Austin Reaves,18.251293560391723
Luka Doncic,18.28948073206514
James Harden,18.35153772827261
Tyler Herro,18.40241250333537
Coby White,18.418489395627827
Cameron Johnson,18.55112195007144
Brandin Podziemski,18.554635506176055
Jalen Suggs,18.570473246681843
Lauri Markkanen,18.57954269712889
Immanuel Quickley,18.597746106068133
Max Christie,18.64615126782046
Josh Green,18.667667931108493
Devin Vassell,18.728505966332776
Dillon Brooks,18.753438538428608
Keegan Murray,18.83120293729691
Keyonte George,18.93406962648335
Jaylen Wells,18.95276062947509
Grant Williams,18.989716246428003
LaMelo Ball,19.038208307189212
Damian Lillard,19.253785370769332
Anfernee Simons,19.478867822665624
Paul George,19.481979083724312
Jordan Poole,19.94847029399407
Taurean Prince,20.04509013918957
Tyrese Haliburton,20.048578868199893
Bogdan Bogdanovic,20.077968263120024
Tyus Jones,20.117574370542787
Dorian Finney-Smith,20.525916261815276
Kevin Huerter,20.5576522608521
Brandon Miller,20.575945563863247
Kentavious Caldwell-Pope,20.682172236792464
Bub Carrington,20.704820401548368
Stephen Curry,21.07955242381543
Fred VanVleet,21.375507000325545
Tim Hardaway Jr.,21.489717745457643
Klay Thompson,21.62204720278246
Derrick White,21.72942339796164
Luguentz Dort,22.0436877406193
Chris Paul,22.158794866083095
Max Strus,22.5115028932698
Malik Beasley,22.538124617085263
Royce O'Neale,22.99702827183645
