age,team,position,games_played,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_percent,three_point_makes,three_point_attempts,three_point_percent,two_point_makes,two_point_attempts,two_point_percent,expected_field_goal_percent,free_throw_makes,free_throw_attempts,free_throw_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,player
29,CHI,SF,42,42,34.1,8.6,16.9,0.511,3.2,7.3,0.446,5.4,9.6,0.56,0.607,3.5,4.3,0.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24,Zach LaVine
29,SAC,SG,32,32,36.6,8.2,16,0.511,3.2,7.2,0.446,5,8.8,0.564,0.611,2.8,3.2,0.874,0.3,3.2,3.5,3.8,0.6,0.1,2.7,1.8,22.4,Zach LaVine
27,SAC,PG,45,45,37,9.2,19.6,0.469,2,6.4,0.322,7.2,13.3,0.539,0.521,4.5,5.5,0.829,1,4,5,6.1,1.5,0.4,3,2.6,25,De'Aaron Fox
27,SAS,PG,17,17,34,7.4,16.5,0.446,1.5,5.6,0.274,5.8,10.9,0.535,0.493,3.5,4.2,0.819,0.5,3.8,4.3,6.8,1.5,0.3,2.4,2.7,19.7,De'Aaron Fox
35,SAC,SF,77,77,35.9,8.1,17,0.477,1.1,3.3,0.328,7,13.7,0.513,0.509,4.9,5.7,0.857,0.6,3.2,3.9,4.4,0.8,0.4,1.4,1.9,22.2,DeMar DeRozan
28,SAC,C,70,70,34.7,7.5,12.8,0.59,0.9,2.2,0.417,6.6,10.5,0.627,0.627,3.1,4.1,0.754,3.8,10.1,13.9,6,0.7,0.4,2.9,3.3,19.1,Domantas Sabonis
24,SAC,PF,76,76,34.3,4.8,10.8,0.444,2,5.9,0.343,2.8,4.9,0.566,0.538,0.8,0.9,0.833,1.9,4.8,6.7,1.4,0.8,0.9,0.8,2.4,12.4,Keegan Murray
28,PHO,SG,75,75,37.3,8.7,18.9,0.461,2.4,7.3,0.332,6.3,11.6,0.542,0.525,5.8,6.4,0.894,1,3.1,4.1,7.1,0.9,0.2,2.9,2.6,25.6,Devin Booker
36,PHO,PF,62,62,36.5,9.5,18.1,.527,2.6,6.0,.430,7.0,12.1,.574,.598,4.9,5.8,.839,0.4,5.7,6.0,4.2,0.8,1.2,3.1,1.7,26.6,Kevin Durant
31,PHO,SG,53,38,32.1,6.5,13.1,0.497,1.9,5,0.386,4.6,8.1,0.565,0.571,2.1,2.6,0.803,0.6,2.7,3.3,3.7,1.1,0.5,1.9,2.6,17,Bradley Beal
28,PHO,PG,81,58,26.8,3.8,8.4,0.448,2,5,0.414,1.7,3.5,0.496,0.57,0.6,0.7,0.895,0.5,1.9,2.4,5.3,0.9,0.1,1.1,0.8,10.2,Tyus Jones
31,PHO,SF,75,22,24.5,3.2,7.6,0.423,2.4,5.9,0.406,0.8,1.7,0.481,0.58,0.3,0.3,0.731,0.7,3.9,4.7,2.2,0.9,0.5,0.9,2,9.1,Royce O'Neale
35,LAC,PG,79,79,35.3,6.7,16.4,.410,3.0,8.5,.352,3.7,7.9,.472,.501,6.4,7.3,.874,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,22.8,James Harden
33,LAC,SF,37,37,31.9,8.4,16.8,.498,2.1,5.1,.411,6.3,11.7,.536,.560,2.6,3.3,.810,0.9,5.0,5.9,3.1,1.6,0.5,1.9,1.5,21.5,Kawhi Leonard
27,LAC,C,80,80,32.8,7.4,11.8,0.628,0,0,NA,7.4,11.8,0.628,0.628,2,3,0.661,3.8,8.9,12.6,2.7,0.7,1.1,1.6,2.1,16.8,Ivica Zubac
31,LAC,SG,60,60,32.6,7.6,15.8,0.484,3,7.1,0.418,4.6,8.6,0.538,0.578,3.6,4.4,0.804,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.9,21.8,Norman Powell
32,ATL,SG,24,0,24.9,3.5,9.3,.371,1.8,6.1,.301,1.6,3.3,.500,.469,1.3,1.4,.882,0.5,2.3,2.8,2.0,0.8,0.3,1.5,2.4,10.0,Bogdan Bogdanović
32,LAC,SG,30,4,25.0,4.2,8.9,.474,2.0,4.8,.427,2.2,4.2,.528,.588,0.9,1.1,.875,0.4,2.7,3.1,3.2,0.7,0.2,1.2,2.3,11.4,Bogdan Bogdanović
35,MIA,PF,25,25,30.6,5.7,10.5,0.54,0.5,1.4,0.361,5.2,9.1,0.568,0.565,5.2,6.4,0.801,2.2,3,5.2,4.8,1.1,0.4,1.2,0.9,17,Jimmy Butler
35,GSW,SF,30,30,32.7,5.3,11.1,0.476,0.6,2.3,0.279,4.7,8.9,0.526,0.504,6.7,7.7,0.87,2.3,3.2,5.5,5.9,1.7,0.3,1.5,1,17.9,Jimmy Butler
36,GSW,PG,70,70,32.2,8.1,18,0.448,4.4,11.2,0.397,3.6,6.8,0.534,0.572,4,4.3,0.933,0.6,3.9,4.4,6,1.1,0.4,2.9,1.4,24.5,Stephen Curry
29,GSW,SF,43,43,30.1,6.1,13.7,0.444,2.2,5.8,0.379,3.9,7.9,0.491,0.524,3.2,4.2,0.777,1.5,3,4.6,2.4,0.9,0.8,1.3,1.6,17.6,Andrew Wiggins
29,MIA,SF,17,17,32.1,6.8,14.8,0.458,2.1,5.9,0.36,4.6,8.9,0.523,0.53,3.4,4.6,0.731,1.4,2.9,4.2,3.3,1.2,1,2.5,1.8,19,Andrew Wiggins
34,GSW,PF,68,66,29.2,3.2,7.5,0.424,1.2,3.6,0.325,2,3.9,0.517,0.503,1.5,2.2,0.687,1.1,5,6.1,5.6,1.5,1,2.6,3.2,9,Draymond Green
21,GSW,SG,64,33,26.8,4.4,9.8,0.445,1.8,4.8,0.372,2.6,5,0.516,0.537,1.1,1.5,0.758,1,4.1,5.1,3.4,1.1,0.2,1.2,1.5,11.7,Brandin Podziemski
25,DAL,PG,22,22,35.7,9.8,21.2,0.464,3.4,9.6,0.354,6.4,11.5,0.555,0.544,5.1,6.6,0.767,0.7,7.6,8.3,7.8,2,0.4,3.4,2.6,28.1,Luka Dončić
25,LAL,PG,28,28,35.1,8.8,20,0.438,3.6,9.6,0.379,5.1,10.4,0.493,0.53,7,8.9,0.791,0.9,7.2,8.1,7.5,1.6,0.4,3.7,2.4,28.2,Luka Dončić
26,LAL,SG,73,73,34.9,6.5,14.2,0.46,2.7,7.3,0.377,3.8,6.9,0.547,0.556,4.4,5,0.877,0.8,3.7,4.5,5.8,1.1,0.3,2.4,2.1,20.2,Austin Reaves
40,LAL,SF,70,70,34.9,9.3,18.1,.513,2.1,5.7,.376,7.2,12.5,.574,.571,3.7,4.7,.782,1.0,6.8,7.8,8.2,1.0,0.6,3.7,1.4,24.4,LeBron James
31,LAL,C,42,42,34.3,9.5,18,0.528,0.7,2.2,0.298,8.9,15.8,0.56,0.546,6,7.6,0.788,2.8,9,11.9,3.4,1.3,2.1,2.2,2,25.7,Anthony Davis
31,DAL,PF,9,9,29.6,7.8,16.9,0.461,0.8,3.3,0.233,7,13.6,0.516,0.484,3.7,5.3,0.688,1.7,8.4,10.1,4.4,0.6,2.2,2.2,1.8,20,Anthony Davis
26,LAL,PF,59,57,31.7,5,9.8,0.509,1.7,4.2,0.413,3.2,5.6,0.581,0.597,1.5,1.9,0.77,1.3,3.7,5,1.4,0.8,0.4,0.8,1.8,13.1,Rui Hachimura
26,OKC,PG,76,76,34.2,11.3,21.8,0.519,2.1,5.7,0.375,9.2,16.1,0.571,0.569,7.9,8.8,0.898,0.9,4.1,5,6.4,1.7,1,2.4,2.2,32.7,Shai Gilgeous-Alexander
23,OKC,SG,69,69,32.4,8.2,16.9,0.484,1.8,4.9,0.365,6.4,12,0.533,0.537,3.4,4.3,0.789,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,21.6,Jalen Williams
25,OKC,SF,71,71,29.2,3.6,8.4,0.435,2.4,5.8,0.412,1.2,2.5,0.489,0.578,0.5,0.6,0.717,1.3,2.9,4.1,1.6,1.1,0.5,0.7,2.9,10.1,Luguentz Dort
26,OKC,C,57,53,27.9,4.9,8.4,0.581,0,0.3,0,4.9,8.1,0.605,0.581,1.4,2.1,0.675,2.9,7.9,10.7,3.8,0.8,1.1,1.7,3,11.2,Isaiah Hartenstein
